epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,25.6198,0.43562,0.39156,0.92978,0.69749,0.59278,0.87435,0.55534,1.59735,1.41745,1.38216,2.60207e-05,2.60207e-05,2.60207e-05
71,25.9769,0.55629,0.43599,1.02766,0.69749,0.59278,0.87435,0.55534,1.59735,1.41745,1.38216,2.55731e-05,2.55731e-05,2.55731e-05
72,26.3588,0.40486,0.34401,1.02037,0.71946,0.58496,0.78999,0.48107,1.60908,1.4387,1.39073,2.5102e-05,2.5102e-05,2.5102e-05
73,26.7054,0.639,0.48714,1.08824,0.71946,0.58496,0.78999,0.48107,1.60908,1.4387,1.39073,2.46073e-05,2.46073e-05,2.46073e-05
74,27.0525,0.49504,0.40997,1.06569,0.71946,0.58496,0.78999,0.48107,1.60908,1.4387,1.39073,2.40891e-05,2.40891e-05,2.40891e-05
75,27.436,0.59859,0.52858,1.01723,0.72148,0.58333,0.86906,0.54219,1.59817,1.43072,1.39168,2.35472e-05,2.35472e-05,2.35472e-05
76,27.7972,0.51453,0.4626,0.98348,0.72148,0.58333,0.86906,0.54219,1.59817,1.43072,1.39168,2.29819e-05,2.29819e-05,2.29819e-05
77,28.1574,0.60124,0.5185,1.04013,0.72148,0.58333,0.86906,0.54219,1.59817,1.43072,1.39168,2.23929e-05,2.23929e-05,2.23929e-05
78,28.5299,0.72407,0.52772,1.20623,0.76252,0.56335,0.78429,0.47154,1.60713,1.4419,1.3975,2.17805e-05,2.17805e-05,2.17805e-05
79,28.8756,0.54789,0.58498,1.06282,0.76252,0.56335,0.78429,0.47154,1.60713,1.4419,1.3975,2.11444e-05,2.11444e-05,2.11444e-05
80,29.2238,0.59336,0.44078,0.99501,0.76252,0.56335,0.78429,0.47154,1.60713,1.4419,1.3975,2.04848e-05,2.04848e-05,2.04848e-05
81,29.6065,0.50199,0.48305,1.05,0.78292,0.55,0.89081,0.55488,1.60273,1.43795,1.39783,1.98016e-05,1.98016e-05,1.98016e-05
82,29.9526,0.57863,0.46052,1.12468,0.78292,0.55,0.89081,0.55488,1.60273,1.43795,1.39783,1.90949e-05,1.90949e-05,1.90949e-05
83,30.3066,0.58375,0.57854,1.18756,0.78292,0.55,0.89081,0.55488,1.60273,1.43795,1.39783,1.83646e-05,1.83646e-05,1.83646e-05
84,30.6821,0.61089,0.4572,1.04647,0.67037,0.56667,0.8891,0.56475,1.59016,1.48258,1.39205,1.76107e-05,1.76107e-05,1.76107e-05
85,31.0313,0.60604,0.52283,1.13669,0.67037,0.56667,0.8891,0.56475,1.59016,1.48258,1.39205,1.68333e-05,1.68333e-05,1.68333e-05
86,31.3894,0.60468,0.70269,1.07089,0.67037,0.56667,0.8891,0.56475,1.59016,1.48258,1.39205,1.60323e-05,1.60323e-05,1.60323e-05
87,31.7481,0.92211,0.81999,1.39093,0.67037,0.56667,0.8891,0.56475,1.59016,1.48258,1.39205,1.52077e-05,1.52077e-05,1.52077e-05
88,32.1187,0.51617,0.58607,1.00588,0.64892,0.58333,0.88977,0.58484,1.59088,1.52009,1.39031,1.43596e-05,1.43596e-05,1.43596e-05
89,32.4738,0.38485,0.61203,1.04948,0.64892,0.58333,0.88977,0.58484,1.59088,1.52009,1.39031,1.34879e-05,1.34879e-05,1.34879e-05
90,32.8416,0.82721,0.57865,1.23665,0.64892,0.58333,0.88977,0.58484,1.59088,1.52009,1.39031,1.25927e-05,1.25927e-05,1.25927e-05
91,35.4006,0.42345,0.35849,0.90202,0.64892,0.58333,0.88977,0.58484,1.59088,1.52009,1.39031,1.16739e-05,1.16739e-05,1.16739e-05
92,35.8241,0.45019,0.35541,0.82513,0.72933,0.55,0.91487,0.60219,1.57003,1.49671,1.38097,1.07315e-05,1.07315e-05,1.07315e-05
93,36.1844,0.43768,0.34335,0.87694,0.72933,0.55,0.91487,0.60219,1.57003,1.49671,1.38097,9.76562e-06,9.76562e-06,9.76562e-06
94,36.5351,0.39431,0.339,0.91101,0.72933,0.55,0.91487,0.60219,1.57003,1.49671,1.38097,8.77613e-06,8.77613e-06,8.77613e-06
95,36.8894,0.47698,0.34902,0.93079,0.72933,0.55,0.91487,0.60219,1.57003,1.49671,1.38097,7.76308e-06,7.76308e-06,7.76308e-06
96,37.2766,0.57717,0.47429,1.0766,0.78058,0.55,0.91433,0.59545,1.55467,1.48159,1.37832,6.72648e-06,6.72648e-06,6.72648e-06
97,37.6108,0.4384,0.38004,0.89405,0.78058,0.55,0.91433,0.59545,1.55467,1.48159,1.37832,5.6663e-06,5.6663e-06,5.6663e-06
98,37.9534,0.43086,0.30679,1.01402,0.78058,0.55,0.91433,0.59545,1.55467,1.48159,1.37832,4.58257e-06,4.58257e-06,4.58257e-06
99,38.3197,0.3741,0.33957,0.90911,0.78058,0.55,0.91433,0.59545,1.55467,1.48159,1.37832,3.47528e-06,3.47528e-06,3.47528e-06
100,38.7209,0.35767,0.33414,0.87518,0.81188,0.55,0.91132,0.60737,1.54311,1.51646,1.37474,2.34442e-06,2.34442e-06,2.34442e-06
